text,from,from_id
здравствовать нулевой лаб очень критично версия insort mypy pylint отличаться указанный ноушон менять,Алëна Хахахахаха,user1141788444
добрый день критично,Анастасия Чернышева,user376852612
чувствовать дебил подсказывать пожалуйста находить собственно задание калькулятор,Алëна Хахахахаха,user1141788444
лабораторный,Юля 🌷,user639313976
теория практический видеть практический задание,Алëна Хахахахаха,user1141788444
внизу,Юля 🌷,user639313976
ааа,Юля 🌷,user639313976
сказать калькулятор некст занятие писать,lil' crybaby,user904273633
ладно,Алëна Хахахахаха,user1141788444
спасибо,Алëна Хахахахаха,user1141788444
находить дедлайн лаб,Андрей,user1218957183
добрый день дедлайн определять день выдача задание выполнение работа неделя,Анастасия Чернышева,user376852612
это чистый правда задание немного отличаться выкладывать заранее поразбираться версия это плюс,Анастасия Чернышева,user376852612
здравствовать завтра ноутбук нужный,Alex,user941609071
нужный,Анастасия Чернышева,user376852612
здравствовать настраивать гитхаб новый ноутбук лабораторный делать старый аккаунт гитхаб репозиторий правильно понимать нужно начинать этап клонированиясоздание локальный копия репозиторий,soya f,user1097562345
рабочий ноутбук нужно рабочий окружение,Анастасия Чернышева,user376852612
здравствовать просить прощение опаздывать,Stepan Sokovich,user938572087
ахахаххахах,Николай Алексеев,user1300178263
возможно,Алëна Хахахахаха,user1141788444
господи пара,Stepan Sokovich,user938572087
фааак,Stepan Sokovich,user938572087
анастасия вадимовна дедлайн лабораторный сниматься балл защищать лабораторный дедлайн,Костя,user1994288719
группа сегодня сегодня проходить следующий практика сдавать нулевой работа группа сдавать близкий практика поздно работа приниматься сессия,Анастасия Чернышева,user376852612
привет балл сегодняшний тест проставлять таблица средний балл выше считать первый вообще это прекрасный также добавлять почитать следующий лекция мочь показываться каждый отрывок страница целиком выходить практически столько сколько прошлый очень рекомендовать почитать,Анастасия Чернышева,user376852612
здравствовать находить таблица результат,Ryzhkov Nikita,user570909676
кабинет какаято группа около человек говорить расписание пара,ㅤ ㅤ,user1650896999
avchernysheva,ㅤ ㅤ,user1650896999
здравствовать сегодня практика приходить дверь закрывать никто предыдущий пара возможно пропускать информация какуюто,Μαρίνα,user790481627
практика прямо идти,Semyon Shevchenko,user190909616
просто начинаться поздно,Semyon Shevchenko,user190909616
странно сегодня приходить итог практика,Анастасия Чернышева,user376852612
приходить находить никто уходить коворкинг пара перерыв объяснять балда приходить ко второй,Μαρίνα,user790481627
анастасия вадимовна смысл приходить среда защищать лаб,Костя,user1994288719
практика практический задание,Анастасия Чернышева,user376852612
уважаемый студент опаздывать сегодня практика минута максимум практика напоминать аудитория скоро холодно прихватывать чтонибудь теплый,Анастасия Чернышева,user376852612
здравствовать первый лаб мочь ключ шифровать слово разный регистровнапример слово python ключ a мочь нужно менять регистр начальный слово,Костя,user1994288719
нужно делать проверка адекватность ключ например ключ,Костя,user1994288719
мочь регистр начальный слово меняться должный,Анастасия Чернышева,user376852612
ключ должный строка буква,Анастасия Чернышева,user376852612
добрый утро прощать мочь опаздывать первый пара сегодня возвращаться поликлиника,Kvadrupol Dipol,user2085379020
добрый день проверять сегодняшний тест балл сотая таблица выглядеть уныло поэтому округлять десятый например балл округляться хороший неделя,Анастасия Чернышева,user376852612
знать место рай прямо рядом богородица зарезервировать,Ryzhkov Nikita,user570909676
уважаемый студент традиционно опаздывать минута пара хороший новость биржевой включать отопление,Анастасия Чернышева,user376852612
правильно понимать практика,Костя,user1994288719
уважаемый студент группа всякий случай напоминать ваш группа первый дедлайн лабораторный работа весь будущий прошедший дедлайн записывать таблица балл откладывать защита второй дедлайн второй дедлайн первый очередь защита правка успешный защита лабораторный работа разбираться код который сдавать успех,Анастасия Чернышева,user376852612
помоему,Вероникаа!,user934382989
опечатываться номер группа первый ноябрь группа остальной восьмой,Анастасия Чернышева,user376852612
спасибо поправлять,Анастасия Чернышева,user376852612
ааапонимать,Вероникаа!,user934382989
мертвый линия,throw-away for DV,user1641311386
добрый вечер третий задание второй практический работа требование таблица просто выводить fстрок,Костя,user1994288719
цикл отдельный строка,Анастасия Чернышева,user376852612
случай допы задача,денис крандер,user702401646
самый столбец,Анастасия Чернышева,user376852612
добрый вечер загрузка гитхаб проверять тесто код получать ошибка run isort imports are incorrectly sorted andor formatted run black терминал выполнение соответствующий команда писать,lil' crybaby,user904273633
это значить это исправлять,lil' crybaby,user904273633
добрый день часто это либо команда локально запускаться параметр запускаться гитхаб параметр посмотреть прямо вкладка actions проверять тесто файл который отправлять гитхаб,Анастасия Чернышева,user376852612
должный находиться код практика гугл коллаб гитхаб достаточно компьютер,ㅤ ㅤ,user1650896999
код писаться гуглколаб ссылка который публиковаться ваш гитхаб,Анастасия Чернышева,user376852612
добрый вечер предыдущий проблема решать удаваться вскрываться вызов юниттест терминал гитхаб выводиться ошибка failed to import test module гугл вопрос отвечать узнавать исправлять очень хотеться,lil' crybaby,user904273633
точно локальный удаленный папка тесто репозиторий,Анастасия Чернышева,user376852612
проблема решать,lil' crybaby,user904273633
ноушен появляться форма запись защита лабораторный стесняться записываться мера записываться формироваться очередь ваш фио попадать желтый строка весь шанс защищаться первый день отводить сдача работа,Анастасия Чернышева,user376852612
видеть табличка почемуто отображаться ноушен перенести таблица балл,Анастасия Чернышева,user376852612
добавлять таблица балл каждый лаб свой лист,Анастасия Чернышева,user376852612
просмотр возможенный редактирование,Вероникаа!,user934382989
записываться гугл форма,Николай Алексеев,user1300178263
чтоооо,Вероникаа!,user934382989
понимать,Вероникаа!,user934382989
уважаемый студент подходить течение минута,Анастасия Чернышева,user376852612
уважаемый студент балл вчерашний тест выставлять сотая округлять целый десятый схема прошлый,Анастасия Чернышева,user376852612
балл практика течение день,Анастасия Чернышева,user376852612
здравствовать спрашивать почему допбалл практика сделать задание монетка весь вид бросок,lil' crybaby,user904273633
обязательно использовать функция лабораторный это просто рекомендация,пчелошвейка,user934145073
важный рейтинг pylint последний задача лабораторный нравиться весь переменный который дефолт стоять функция,денис крандер,user702401646
имя переменный последний править рекомендация pylint рейтинг высоко это достаточно,Анастасия Чернышева,user376852612
обязательно,Анастасия Чернышева,user376852612
сожаление строчка переменный,денис крандер,user702401646
гит хаб обращать внимание переменный рейтинг должный высокий,Yuri Zaretskiy,user1093580334
спасибо,денис крандер,user702401646
пока удалять ветка,денис крандер,user702401646
защищать работа ветка закрывать удалять работа пока рано,Анастасия Чернышева,user376852612
добрый день делать pycharm пытаться каждый запуск тестировать это использовать папка лаб который удалять вести ошибка это нужно исправлять заранее благодарить,Диана Клапнева,user1858713756
тестирование начинаться каждый запуск должно тест прописывать функция удалять папка который какоето непонятный виртуальный окружение запускать программа тест каталог окружение который создавать нулевой работа весь нулевой работа делать род проблема,Анастасия Чернышева,user376852612
понимать пробовать спасибо,Диана Клапнева,user1858713756
здравствовать исправлять ошибка,Яна,user719664687
зайти вкладка actions посмотреть конкретно ошибка,Анастасия Чернышева,user376852612
это вроде тест проходить просто,Костя,user1994288719
просто нулевой это исправлять кнопочка исправлять конфликт,Яна,user719664687
нужно форматировать файл блэк разрешение конфликт мочь чтото сбиваться,Анастасия Чернышева,user376852612
ошибка отформатировать блэк проходить проверка,вика,user599751161
нажимать стрелочка,пчелошвейка,user934145073
прописывать ошибка,пчелошвейка,user934145073
исправлять равный,Яна,user719664687
нужно команда запускать находиться уровень каталог высоко папка папка,Анастасия Чернышева,user376852612
похоже проходить,Яна,user719664687
равный тест проходить,Яна,user719664687
ктонибудь знать это исправлять git add,Диана Клапнева,user1858713756
rsapy,,
делать,,
untracked files вроде норма мочь пушить,Костя,user1994288719
ооо просто делать весь коммитта,Диана Клапнева,user1858713756
класс,Диана Клапнева,user1858713756
типо файлик gitignore написать папка игнорировать добавлять репозиторий,Костя,user1994288719
писать up to date самый гитхаб изменение пока,Диана Клапнева,user1858713756
ветка поменять,Костя,user1994288719
дефолт мастермейн ветка сайт,Костя,user1994288719
наверно сделать коммит подряд файл ничто поменять просто каждый коммит чтото менять файл,Юля 🌷,user639313976
мастер закидывать хоумворк,вика,user599751161
сначала хоумворк защищать мерджим мастер,Костя,user1994288719
гдеть написать кстати,Костя,user1994288719
сначала git checkout,Диана Клапнева,user1858713756
смысл сайт дефолт смотреть ветка мастер,Костя,user1994288719
сайт ветка ничто думать,Костя,user1994288719
действительно думать приходиться,Диана Клапнева,user1858713756
приходиться,Диана Клапнева,user1858713756
кажется разбираться,Диана Клапнева,user1858713756
ура думать,Костя,user1994288719
проходить проверка видеть код,вика,user599751161
заходить смотреть почему ошибка выдавать ващ код просто исходник,вика,user599751161
доделывать поэтому знать,Костя,user1994288719
пара проходить,Костя,user1994288719
попросить пропускать,Анастасия Чернышева,user376852612
совет помогать большой спасибо,Костя,user1994288719
аудитория,аве,user565902538
здравствовать понимать элемент словарь являться разный одинаковый ключ соответствовать разный значение случай выбирать элемент вычисление разность словарь,lil' crybaby,user904273633
написать элемент одинаковый ключ значение одинаковый следовательно любой случай идея элемент разный,Костя,user1994288719
разность делать наверное множество весь элемент первый минус весь элемент который второй элемент одинаковый ключ разный значение оставаться который первый словарь,Костя,user1994288719
вообще сделать считать правильно написать комментарий,Костя,user1994288719
анастасия вадимовна выкладывать пожалуйста лекция множество класс ноушен,пчелошвейка,user934145073
выкладывать вчера,Анастасия Чернышева,user376852612
именно,пчелошвейка,user934145073
видеть,пчелошвейка,user934145073
множество лежать раздел тип данный класс ооп,Анастасия Чернышева,user376852612
дико извиняться замечать,пчелошвейка,user934145073
спасибо,пчелошвейка,user934145073
здравствовать дедлайн лаб потеря балл,Ксения,user1584328410
следующий практика,Анастасия Чернышева,user376852612
записываться сдача,Ксения,user1584328410
ноушен форма запись,Ness🪐,user2108481437
спасибо,Ксения,user1584328410
здравствовать дедлайн,Ксения,user1584328410
первый дедлайн близкий пректика расписание второй следующий,Анастасия Чернышева,user376852612
коллега ктонибудь знать исправлять broken paths заранее спасибо,Диана Клапнева,user1858713756
папка находиться,Костя,user1994288719
broken,Диана Клапнева,user1858713756
main самый,Диана Клапнева,user1858713756
папка зайти папка,Костя,user1994288719
ветка,Костя,user1994288719
пон работать благодарить каждый спотыкаться это,Диана Клапнева,user1858713756
анастасия вадимовна мочь пожалуйста помогать загрузка лаб сталкиваться непредвиденный обстоятельство,Ксения,user1584328410
проблема мочь помогать,Анастасия Чернышева,user376852612
лс написать,Ксения,user1584328410
лаб судоку брать расчет судоку,пчелошвейка,user934145073
вопрос тесто гитхаб ошибка писать этап run isort вроде применять isort black весь файл упускать заранее благодарить,Диана Клапнева,user1858713756
import random as randint попробовать,Ксения,user1584328410
это isort файл локально прогнать isort isort test rsapy,Анастасия Чернышева,user376852612
большой спасибо продвигаться проверка,Диана Клапнева,user1858713756
подходить течение минута дождаться,Анастасия Чернышева,user376852612
здравствовать скачать модуль pandas лаб,lil' crybaby,user904273633
вообще консоль pip install вроде,Polina,user6206816311
pip install pandas,Polina,user6206816311
добрый вечер сегодня появляться расписание сессия программирование консультация экзамен январь,Анастасия Чернышева,user376852612
добрый день информация актуальный группа завтра примерно перерыв практика изза это ктото желающий успевать защищать лабораторный лекция это сделать лекция,Анастасия Чернышева,user376852612
gentle reminder коллега полностью рабочий свой код хороший идеальный чужой,Анастасия Чернышева,user376852612
добрый вечер вопрос касаемо третий лаб когонибудь функция юниттест который использоваться seed проходить работать корректно,Stepan Sokovich,user938572087
функция,Μαρίνα,user790481627
оказываться просто перепутывать строка столбец лола,Μαρίνα,user790481627
советовать взять кейс тест терминал потыкать посмотреть разница мысленно код свой проходиться,Μαρίνα,user790481627
весь работать четко лабиринт генериться решаться,Stepan Sokovich,user938572087
шиза,Μαρίνα,user790481627
проходить какаято функция,Μαρίνα,user790481627
remove wall bin tree maze solve maze,Stepan Sokovich,user938572087
сметь предполагать проблема ремув далеко использоваться,Μαρίνα,user790481627
работать вроде тест проходить ремув поменять строчка збс,Μαρίνα,user790481627
проблема ремув,Анастасия Чернышева,user376852612
тест проходиться изза ранд неправильно рандомляться,Stepan Sokovich,user938572087
изза сид,Stepan Sokovich,user938572087
просто гипотеза,Stepan Sokovich,user938572087
ранд мочь неправильно рандомляться фиксированный сид,Анастасия Чернышева,user376852612
интересно получаться ладно,Stepan Sokovich,user938572087
добрый день анастасия вадимовна завтра лекция защищать лабораторный работа,username_ss,user734955241
добрый день напоминать завтрашний расписание защита лабораторный группа седьмой тест защита лабораторный группа группа возможность защищать работа декабрь дистанционно,Анастасия Чернышева,user376852612
добрый вечер хотеться задавать вопрос pandas вроде весь известный способ устанавливать ошибка module not found ошибка заранее благодарить,Диана Клапнева,user1858713756
напрямую пайчарм,Stepan Sokovich,user938572087
перезапускать комп хз,Stepan Sokovich,user938572087
ответ получать благодарить,Диана Клапнева,user1858713756
здравствовать находить ошибка тесто remove wall проверка рандом использоваться сид заранее тесто неизвестный направление функция проверять первый наверх направо результат человек скажем choice написать вместо являться верный решение разница направление записывать первый тест пройти история подбрасывание монетка рандинт обозначать движение направо тест пройти,Μαρίνα,user790481627
говорить,Stepan Sokovich,user938572087
любой ранд правильно рандомляться,Stepan Sokovich,user938572087
второй кейс тесто верный вариант снести стенка приниматься взгляд гуманный избавляться рандома принимать оба вариант работа функция либо указывать особенность тестирование тз,Μαρίνα,user790481627
ранд рандомляться правильно фиксированный сид проверять неправильно правильный решение шанс заваливать тест,Μαρίνα,user790481627
